0,0.0015,0.001
100,0.0015,0.0015
105,0.003,0.002
110,0.003,
115,0.0015,
120,0.0015,
125,0.003,
130,0.003,
135,0.0015,
140,0.0015,
145,0.003,
150,0.003,
155,0.0015,
160,0.0015,
165,0.003,
170,0.003,
175,0.0015,
180,0.0015,
185,0.003,
190,0.003,
195,0.0015,
200,0.0015,
205,0.003,
210,0.003,
215,0.0015,
220,0.0015,
225,0.003,
230,0.003,
235,0.0015,
240,0.0015,
245,0.003,
250,0.003,
255,0.0015,
260,0.0015,
265,0.003,
270,0.003,
275,0.0015,
280,0.0015,
285,0.003,
290,0.003,
295,0.0015,
300,0.0015,
305,0.003,
310,0.003,
315,0.0015,
320,0.0015,
325,0.003,
330,0.003,
335,0.0015,
340,0.0015,
345,0.003,
350,0.003,
355,0.0015,
360,0.0015,
365,0.003,
370,0.003,
375,0.0015,
380,0.0015,
385,0.003,
390,0.003,
395,0.0015,
400,0.0015,
405,0.003,
410,0.003,
415,0.0015,
420,0.0015,
425,0.003,
430,0.003,
435,0.0015,
440,0.0015,
445,0.003,
450,0.003,
455,0.0015,
460,0.0015,
465,0.003,
470,0.003,
475,0.0015,
480,0.0015,
485,0.003,
490,0.003,
495,0.0015,
500,0.0015,
505,0.003,
510,0.003,
515,0.0015,
520,0.0015,
525,0.003,
530,0.003,
535,0.0015,
540,0.0015,
545,0.003,
550,0.003,
555,0.0015,
560,0.0015,
565,0.003,
570,0.003,
575,0.0015,
580,0.0015,
585,0.003,
590,0.003,
595,0.0015,
600,0.0015,
605,0.003,
610,0.003,
615,0.0015,
620,0.0015,
625,0.003,
630,0.003,
635,0.0015,
640,0.0015,
645,0.003,
650,0.003,
655,0.0015,
660,0.0015,
665,0.003,
670,0.003,
675,0.0015,
680,0.0015,
685,0.003,
690,0.003,
695,0.0015,
700,0.0015,
705,0.003,
710,0.003,
715,0.0015,